epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.49721186983190135,0.8093786239624023,0.6961362957954407,0.40889076828956605,0.9074041843414307,0.833220362663269
2,0.36594970093475643,0.9186534881591797,0.8531280755996704,0.3343294370174408,0.9159181118011475,0.8474037647247314
3,0.2895567898301777,0.925886869430542,0.865021824836731,0.2703034389019012,0.9363918304443359,0.8818485736846924
4,0.23927720655086138,0.9332225918769836,0.8772677183151245,0.23861789762973784,0.9319334030151367,0.8740936517715454
5,0.2078761454146002,0.9346840381622314,0.8797358870506287,0.2263753491640091,0.9165201187133789,0.8482022285461426
6,0.1873808916523168,0.9374298453330994,0.8844107389450073,0.20691612899303435,0.9287134408950806,0.8685853481292725
7,0.17467440534943143,0.9378402233123779,0.8851146697998047,0.20507333636283875,0.9133932590484619,0.8431825041770935
8,0.15992402154937926,0.9424424171447754,0.8930189609527588,0.18050092220306396,0.9342368841171265,0.878145694732666
9,0.15347298625899722,0.9425027370452881,0.8931081295013428,0.18862368762493134,0.9256795644760132,0.8634676933288574
10,0.15382163253029035,0.9345004558563232,0.8794534802436829,0.1752096462249756,0.9282242059707642,0.8678996562957764
11,0.14055305908943197,0.9444577693939209,0.8964919447898865,0.17354016840457917,0.9242446422576904,0.8611501455307007
12,0.13230000986626447,0.9468928575515747,0.900736927986145,0.18511389017105104,0.9124224185943604,0.8415786623954773
13,0.1248831381086395,0.949785590171814,0.9058012962341309,0.1693805968761444,0.9253577589988708,0.8630093336105347
14,0.11875565491369713,0.9524540305137634,0.9105039834976196,0.16083820104599,0.9346082210540771,0.878675103187561
15,0.1130696269830742,0.9549061059951782,0.914863109588623,0.16592244565486908,0.9300408363342285,0.8708387613296509
16,0.10893491418341443,0.9569838643074036,0.9185699820518494,0.17465172290802003,0.92426598072052,0.8609814643859863
17,0.1072224004505778,0.9571163654327393,0.918808102607727,0.1576583981513977,0.931926965713501,0.8740631341934204
18,0.1053581139792271,0.957862138748169,0.9201409816741943,0.17454133093357085,0.9194860458374023,0.85307776927948
19,0.10239350885359617,0.9589357376098633,0.9220654964447021,0.1647597336769104,0.9243922233581543,0.8612961769104004
20,0.0991995711922186,0.9597854614257812,0.923595130443573,0.15096219658851623,0.9311180710792542,0.872767448425293
21,0.09607790084232619,0.9606068134307861,0.9250839948654175,0.1701290166378021,0.9204740524291992,0.854769766330719
22,0.09455710895928218,0.9611530303955078,0.9260696768760681,0.15955913811922073,0.924618124961853,0.8617253303527832
23,0.09255335118647438,0.9616734981536865,0.9270156621932983,0.17277612268924714,0.9190245866775513,0.8523233532905579
