epoch,train_loss,train_acc,val_loss,val_acc
1,1.1058183984344623,0.668696939945221,0.9250796743007521,0.6632124185562134
2,1.0364724696426468,0.6696954369544983,0.8647792351678245,0.6580311059951782
3,1.0170371529464417,0.6702945828437805,0.8480588290357837,0.6891191601753235
4,1.0081542306939066,0.6698951721191406,0.8216471622644929,0.7098445892333984
5,1.001891859138363,0.6696954369544983,0.8302039550376062,0.6891191601753235
6,0.8535117010622696,0.6933599710464478,0.628217012771053,0.772020697593689
7,0.7136481460338227,0.7433848977088928,0.494605911210411,0.8290155529975891
8,0.6576269660541193,0.7580628991127014,0.4699218220082281,0.8290155529975891
9,0.6174813860187636,0.7753369808197021,0.4861771504496046,0.8445596098899841
10,0.5710779577925154,0.7919121384620667,0.4537901816590462,0.8497409224510193
11,0.5530583905090526,0.7975037693977356,0.47419651771456467,0.8290155529975891
12,0.5207417716458626,0.8108837008476257,0.43193798593288873,0.8082901835441589
13,0.5045989251946189,0.8143784403800964,0.40624378899527336,0.8290155529975891
14,0.47581387311294565,0.8260608911514282,0.47171573750095663,0.803108811378479
15,0.4609900746682377,0.8315526843070984,0.4000938812685754,0.8601036071777344
16,0.44859414764243366,0.8356465101242065,0.4020263061622264,0.8549222946166992
17,0.42849472209149103,0.837643563747406,0.3917991037967909,0.8652849793434143
18,0.40402076381239604,0.8479281067848206,0.4273876907603111,0.8445596098899841
19,0.3996572897009295,0.8526210784912109,0.3694917554991233,0.8549222946166992
20,0.3797353603276859,0.8614078760147095,0.41175816824823774,0.8290155529975891
21,0.3630066406024556,0.8665002584457397,0.44127272540423534,0.8756476640701294
22,0.360298464060782,0.8645032644271851,0.4637191270917191,0.8341968655586243
23,0.3410487271581241,0.8756864666938782,0.4646551769632132,0.8238341808319092
24,0.30739273715185866,0.8842735886573792,0.4235831381743436,0.8497409224510193
25,0.2882832313894749,0.8948577046394348,0.3859388698567998,0.8445596098899841
26,0.2744822497077424,0.8978531956672668,0.4515951068907822,0.8290155529975891
27,0.26812631632468725,0.8999500870704651,0.4186217269107429,0.8238341808319092
28,0.23830034794119437,0.9081377983093262,0.3936181999163924,0.8549222946166992
29,0.23348317068336133,0.9105342030525208,0.38935769878212034,0.8704662919044495
