epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.5166440110254398,0.6762224435806274,0.533889889717102,0.25983142495155337,0.9020897150039673,0.8241534233093262
2,0.2656487589996414,0.8746474385261536,0.7843040227890015,0.19879526019096375,0.9071134328842163,0.8323675990104675
3,0.18617795806438442,0.9123606085777283,0.8427218198776245,0.19776589155197144,0.8987280130386353,0.818899929523468
4,0.15355524753343167,0.9253894090652466,0.8640664219856262,0.14921305060386658,0.9227394461631775,0.8584882020950317
5,0.1325606698703104,0.9339141249656677,0.8783773183822632,0.14295495748519899,0.9280135631561279,0.8674142956733704
6,0.13447067764233697,0.9293186664581299,0.8706144690513611,0.13996052414178847,0.9238337278366089,0.8604558110237122
7,0.11354789558335644,0.9407247304916382,0.8899936676025391,0.13030403792858125,0.9312258958816528,0.8728777170181274
8,0.10673142499710471,0.943686842918396,0.8951148390769958,0.15165808737277986,0.9263638257980347,0.8645938634872437
9,0.1046939691443947,0.9426395893096924,0.8933055400848389,0.1367269539833069,0.9248835444450378,0.8618671894073486
10,0.10611646581633603,0.9425771236419678,0.893191933631897,0.18797071665525436,0.9110339879989624,0.8393033742904663
11,0.1001011518303394,0.9451690912246704,0.8976848721504211,0.14722778558731078,0.916785717010498,0.8481781482696533
12,0.09494978553093482,0.9477593302726746,0.902219295501709,0.16944740027189253,0.9180790185928345,0.850710928440094
13,0.09203517235350223,0.9493733644485474,0.9050474166870117,0.15890894562005997,0.9118342399597168,0.8403742909431458
14,0.08511975044549752,0.9523656368255615,0.9103275537490845,0.15646638005971908,0.9172607064247131,0.8493053317070007
15,0.08773226348960408,0.9502781629562378,0.9066410064697266,0.15047670245170594,0.9266121983528137,0.8650431632995605
16,0.07961944970334596,0.9544593095779419,0.9140493869781494,0.14590319514274597,0.920630931854248,0.8548853993415833
17,0.0801886998421427,0.9545345306396484,0.9141807556152344,0.2132784354686737,0.9091367721557617,0.8359675407409668
18,0.07572782443478739,0.9559253454208374,0.9166631698608398,0.15204081326723098,0.9240636825561523,0.86054927110672
19,0.07077504327390041,0.9591209888458252,0.922394871711731,0.12677561342716218,0.93706214427948,0.8828643560409546
20,0.07071530918893028,0.9586106538772583,0.9214802384376526,0.1355086797475815,0.9306230545043945,0.871710479259491
21,0.06802063678594489,0.9604455232620239,0.9247869253158569,0.12846088975667955,0.937418520450592,0.8834658861160278
22,0.06547932331102024,0.9619706869125366,0.9275524020195007,0.12414284706115723,0.9379753470420837,0.884434163570404
23,0.06633433266474636,0.9616084098815918,0.92689049243927,0.1474198579788208,0.9297752380371094,0.8702439069747925
24,0.06670520749336586,0.9607406854629517,0.9253244400024414,0.1413818508386612,0.9330716133117676,0.8760522603988647
25,0.06282652188422777,0.9634899497032166,0.9303122162818909,0.14026639521121978,0.9360366463661194,0.8810633420944214
26,0.06415168069010067,0.9622858762741089,0.9281215667724609,0.1865127208828926,0.9210271835327148,0.8556410074234009
27,0.06975266198378484,0.959937572479248,0.9238749146461487,0.14489709079265595,0.9240274429321289,0.8604940176010132
28,0.06394074378145964,0.962594747543335,0.928683876991272,0.1385565847158432,0.9313147068023682,0.8729523420333862
29,0.061447256709303226,0.9638924598693848,0.9310464859008789,0.16421474128961563,0.9204837083816528,0.854678213596344
30,0.05991227953546122,0.9648829698562622,0.9328533411026001,0.14206529319286346,0.9344950914382935,0.8784509897232056
31,0.059447182424268816,0.9648177623748779,0.932737410068512,0.14543530076742173,0.9329441785812378,0.8757649660110474
32,0.06293029724724401,0.963179349899292,0.9297467470169067,0.17986337780952455,0.9151439666748047,0.8455260396003723
33,0.06082641016821174,0.9641432166099548,0.931505560874939,0.14579101026058197,0.9299732446670532,0.8706666231155396
34,0.05889453896613606,0.9651800990104675,0.9334014654159546,0.13781368762254714,0.9316973686218262,0.8735636472702026
35,0.05699808313672875,0.9662933349609375,0.93543541431427,0.12541331857442856,0.9370995163917542,0.8829231262207031
36,0.05615869028322864,0.9669749736785889,0.9366899728775024,0.1366171967983246,0.9341309070587158,0.8777377605438232
37,0.05499582402781514,0.9674301147460938,0.9375258684158325,0.1344364482164383,0.9332322478294373,0.8761982917785645
38,0.05377388221076018,0.9682067632675171,0.9389559030532837,0.13466966062784194,0.9349976181983948,0.8792746663093567
39,0.055290586562825796,0.9673299789428711,0.9373409748077393,0.1481451964378357,0.9324645400047302,0.8748639822006226
40,0.055610274121958014,0.9666585922241211,0.9361073970794678,0.15369618505239488,0.9287636280059814,0.8685659170150757
41,0.05478242657785702,0.9676531553268433,0.9379384517669678,0.14468159943819045,0.9350364208221436,0.8793495297431946
42,0.05645853493566594,0.9670069217681885,0.9367470741271973,0.1513551315665245,0.9310921430587769,0.8725380301475525
