epoch,train_loss,train_acc,val_loss,val_acc
1,0.5260073289029669,0.6675986051559448,0.46390649074099843,0.6373056769371033
2,0.45578284045189427,0.670893669128418,0.4388796304174038,0.6476684212684631
3,0.4412810490212319,0.6746879816055298,0.4304042569713889,0.6632124185562134
4,0.4338391989752226,0.6818771958351135,0.42266749872444825,0.6891191601753235
5,0.4273034573583322,0.6893659234046936,0.41784703947719515,0.6839378476142883
6,0.35965491745451716,0.7606590390205383,0.27001903348944967,0.8238341808319092
7,0.30148865261556385,0.8063904047012329,0.26363034121730783,0.8290155529975891
8,0.2753071905997653,0.8229655623435974,0.2505036759252993,0.8134714961051941
9,0.24816850060173945,0.8450324535369873,0.22983840914742318,0.8652849793434143
10,0.22734964294131255,0.8621068596839905,0.2354117607205643,0.8601036071777344
11,0.20934550319456544,0.8752870559692383,0.23592973990761554,0.8549222946166992
12,0.1912261273680302,0.8866699934005737,0.23978513015984254,0.8445596098899841
13,0.18107609919798237,0.8904643058776855,0.20475858141103556,0.8652849793434143
14,0.15894962948706529,0.9078382253646851,0.24614258380751536,0.8341968655586243
15,0.14802854716986105,0.9161258339881897,0.23434722377228615,0.8445596098899841
16,0.1328772403087785,0.9273090362548828,0.19658098713412803,0.8601036071777344
17,0.11931597527062601,0.9351971745491028,0.21359172942107205,0.8704662919044495
18,0.1135107814372925,0.9381927251815796,0.23371607435799632,0.8704662919044495
19,0.0975128221187482,0.9485771059989929,0.22514930104962286,0.8601036071777344
20,0.08751758038848861,0.9535696506500244,0.22493302698580095,0.8652849793434143
21,0.08067930738032013,0.9580628871917725,0.2226734826910681,0.8704662919044495
22,0.07025466565632309,0.9657513499259949,0.20201977794034492,0.8911917209625244
23,0.0650397259773639,0.9688467383384705,0.18516789446222967,0.8963730335235596
24,0.06150252004593417,0.9701448082923889,0.19006609329905536,0.8963730335235596
25,0.05538594857698908,0.9736395478248596,0.2150162470773094,0.8652849793434143
26,0.05344025036371236,0.9744383692741394,0.1891085751007258,0.8860103487968445
27,0.04983036071880424,0.9775336980819702,0.2117455592427229,0.8704662919044495
28,0.04770550766324646,0.9775336980819702,0.19541213441389213,0.8911917209625244
29,0.04725015084582362,0.9786320328712463,0.20320718708433635,0.8808290362358093
30,0.0470269804053228,0.9781327843666077,0.20327901994626138,0.8756476640701294
