epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou
1,0.3865819437028632,0.8095757961273193,0.69072425365448,0.24594819366931917,0.904848039150238,0.8293694853782654
2,0.19654426357795757,0.9221241474151611,0.8585615158081055,0.19359155178070067,0.9155611991882324,0.8464087247848511
3,0.15721640130971704,0.9298524856567383,0.8714785575866699,0.19752663493156433,0.9059988856315613,0.8305092453956604
4,0.13311094934883352,0.9353025555610657,0.8807030320167542,0.17000717669725418,0.918016791343689,0.8505775332450867
5,0.11946350427986387,0.9394431114196777,0.8877789974212646,0.14997207164764403,0.9287829399108887,0.868754506111145
6,0.11630264001000176,0.9377540349960327,0.8848975300788879,0.16312333047389985,0.9166879653930664,0.8482381105422974
7,0.10277068789591676,0.9453219175338745,0.8979429602622986,0.13279658794403076,0.9326142072677612,0.8751596212387085
8,0.0960030601106429,0.9473615884780884,0.9015040397644043,0.17052553296089173,0.9116567373275757,0.8399877548217773
9,0.09862080727665812,0.944717526435852,0.8968956470489502,0.15007329523563384,0.9215601086616516,0.8564112186431885
10,0.09401591743702326,0.9468887448310852,0.9006838798522949,0.13693000584840775,0.9292930960655212,0.8695635795593262
11,0.09268453467921652,0.9464150667190552,0.8998616933822632,0.1527734312415123,0.9213428497314453,0.8561480045318604
12,0.08836328606469501,0.9492765665054321,0.9048571586608887,0.14532585114240645,0.9256330728530884,0.8632684946060181
13,0.08258520233327826,0.9525760412216187,0.9106963276863098,0.1377092930674553,0.9323395490646362,0.8747591972351074
14,0.09935912336513641,0.9425801634788513,0.8931832909584045,0.16922062426805495,0.9161419868469238,0.8474738001823425
15,0.08337766445064508,0.9515807628631592,0.9089379906654358,0.15065808415412904,0.9227478504180908,0.8584406971931458
16,0.07822111738399073,0.954322099685669,0.91379714012146,0.14119719296693803,0.9246996641159058,0.8617919683456421
17,0.07743678155226623,0.9542971849441528,0.9137545824050903,0.1663711741566658,0.9213821887969971,0.8563472032546997
18,0.07398421626966001,0.9559943675994873,0.9167848229408264,0.17296994268894195,0.9163073897361755,0.8476006984710693
19,0.07033820512059016,0.9580599069595337,0.9204832911491394,0.1549026519060135,0.9249966144561768,0.8622705936431885
20,0.06689643641573333,0.96016526222229,0.9242779016494751,0.14088111460208894,0.931760311126709,0.8737667798995972
21,0.06355826731027321,0.9620380401611328,0.9276760220527649,0.16310680389404297,0.921554446220398,0.8564001321792603
22,0.062334266588172274,0.962459921836853,0.9284386038780212,0.15422105848789214,0.9252697229385376,0.8626893758773804
23,0.06134926977530754,0.9630515575408936,0.9295151233673096,0.14961679577827453,0.9269090890884399,0.8655228614807129
24,0.06043794100893031,0.963716983795166,0.9307240843772888,0.15595866978168488,0.926282525062561,0.8643522262573242
25,0.06353288422480122,0.962067186832428,0.9277272820472717,0.1586962026357651,0.9261645674705505,0.8641476631164551
26,0.06373565745128515,0.9613567590713501,0.9264385104179382,0.14813420057296753,0.9307570457458496,0.8720420598983765
27,0.06075803129003888,0.9631409645080566,0.9296774864196777,0.17073872834444045,0.9209251403808594,0.8552576303482056
