epoch,train_loss,train_acc,val_loss,val_acc
1,0.9268771336427404,0.6887668497254119,0.7901582106407442,0.7202072538860104
2,0.8019551259067972,0.7146280579131303,0.7372413700726366,0.7616580310880829
3,0.778867680849103,0.7211183225162257,0.7185287487939231,0.7357512953367875
4,0.7598695652221836,0.7301048427358962,0.7040844111862578,0.7564766839378239
5,0.7482006108290662,0.7334997503744384,0.6884095149954366,0.7409326424870466
6,0.6273915736840715,0.7736395406889666,0.44957662802286097,0.8601036269430051
7,0.5131115289848563,0.8132800798801797,0.41650110483169556,0.8549222797927462
8,0.4433480025944684,0.8356465302046929,0.39523233897945426,0.8497409326424871
9,0.39209666616370303,0.8600099850224663,0.4580946178633932,0.8290155440414507
10,0.3711103072121211,0.8638042935596605,0.3741194906938879,0.8601036269430051
11,0.3233257593762797,0.8782825761357963,0.38895176173491797,0.8549222797927462
12,0.2975525897202704,0.8873689465801298,0.4652808861411297,0.8549222797927462
13,0.26564605213140047,0.9037443834248627,0.4223704744188279,0.8601036269430051
14,0.25947250167965236,0.9017473789316026,0.4044722479242117,0.8549222797927462
15,0.22402255596426565,0.9161258112830754,0.4396921810090851,0.8341968911917098
16,0.20201135599354297,0.9236145781328008,0.5277958756088492,0.8238341968911918
17,0.19795041178621414,0.926110833749376,0.4604660698304368,0.8497409326424871
18,0.17307741600263138,0.9360958562156765,0.39152621789811265,0.8963730569948186
19,0.16298220325159063,0.9406889665501748,0.4958493974773995,0.8704663212435233
20,0.15045463934548187,0.945781328007988,0.4124519170257094,0.8549222797927462
21,0.1399649923960239,0.9494757863205192,0.5043828745464278,0.8497409326424871
22,0.12689942421612,0.9539690464303545,0.47130040241492227,0.8652849740932642
23,0.1233314846813887,0.9567648527209186,0.5251301761733503,0.8290155440414507
24,0.11700902762588,0.9570644033949076,0.37996259715632474,0.8393782383419689
25,0.11034479347158538,0.9594608087868197,0.6268482558776678,0.8601036269430051
26,0.10462012897713804,0.9616575137294059,0.44183297773191,0.8652849740932642
27,0.09747190731249776,0.9657513729405891,0.5575907575111315,0.8290155440414507
28,0.0919835301024046,0.964952571143285,0.4876442775130272,0.8652849740932642
29,0.09502699134784881,0.9668497254118822,0.5889066042368893,0.844559585492228
30,0.08127006029703664,0.9702446330504244,0.4856306252894933,0.8601036269430051
