epoch,train_loss,train_acc,val_loss,val_acc
1,1.1046545994086343,0.6079234972677595,0.9375770532142889,0.6975476839237057
2,0.9142001456901675,0.674863387978142,0.8418505251894854,0.7329700272479565
3,0.8541148692532315,0.6864754098360656,0.791227850829548,0.7302452316076294
4,0.8227161960523637,0.7056010928961749,0.7740358172710325,0.7329700272479565
5,0.788902918172013,0.7131147540983607,0.7678522635708063,0.7438692098092643
6,0.6746005389859767,0.7479508196721312,0.6329604297957563,0.7874659400544959
7,0.5795499350203842,0.780396174863388,0.5219041189478268,0.8147138964577657
8,0.5220174887141243,0.796448087431694,0.5132834824456831,0.8092643051771117
9,0.48166937564240125,0.8155737704918032,0.49883902600740543,0.8256130790190735
10,0.4713727268364912,0.8271857923497268,0.4620009093502237,0.8528610354223434
11,0.42598472446040375,0.8401639344262295,0.46365116487894137,0.8419618528610354
12,0.41421517029486066,0.8346994535519126,0.4702109178421608,0.8283378746594006
13,0.39175079192945866,0.8483606557377049,0.4598328237312691,0.8392370572207084
14,0.3634404786786095,0.8582650273224044,0.44162857093992935,0.8474114441416893
15,0.3494828488331675,0.8637295081967213,0.457265704017569,0.8337874659400545
16,0.32565795471433734,0.8726092896174863,0.5165976781692427,0.8092643051771117
17,0.3300201379861988,0.8753415300546448,0.5048670262017108,0.8228882833787466
18,0.3023793044311753,0.8866120218579235,0.5435479933786782,0.8228882833787466
19,0.29415037079912715,0.887636612021858,0.4939677245123185,0.8474114441416893
20,0.26295780842421485,0.8978825136612022,0.539380064614787,0.8392370572207084
21,0.24107997860413433,0.9088114754098361,0.5302121280730583,0.8256130790190735
