epoch,train_loss,train_acc,val_loss,val_acc
1,0.8982727512739566,0.6950573921203613,0.7362451083919545,0.7564767003059387
2,0.7496697831499058,0.7311033606529236,0.6951849621194632,0.7253885865211487
3,0.7100733893130698,0.7437843084335327,0.6638004656282731,0.7461140155792236
4,0.6865472868211377,0.7526710033416748,0.6553579043847909,0.7564767003059387
5,0.668688204731277,0.7593609690666199,0.6636310710808156,0.7512953281402588
6,0.5659479618637906,0.7952072024345398,0.472901061408878,0.8082901835441589
7,0.4474024726817207,0.8358462452888489,0.47642527096012094,0.8290155529975891
8,0.3798607517973042,0.8579131364822388,0.5091444290981392,0.8341968655586243
9,0.32613023839708694,0.8806789517402649,0.46375418530651635,0.818652868270874
10,0.2957076096647808,0.8894658088684082,0.465341482137769,0.8290155529975891
11,0.2515532013004682,0.9088367223739624,0.4804439362466644,0.8393782377243042
12,0.21912260257299102,0.9204193949699402,0.3693373759175829,0.8549222946166992
13,0.2067258748363032,0.9238142967224121,0.5184164664905924,0.7979274392127991
14,0.180821693432343,0.9315027594566345,0.40980837752782,0.8756476640701294
15,0.15652319416068997,0.9417873024940491,0.40036023952491545,0.8341968655586243
16,0.14278127984648278,0.949575662612915,0.4718737455393752,0.8549222946166992
17,0.10011836905450863,0.9622566103935242,0.4749714968812898,0.8549222946166992
18,0.07589524565929481,0.9729405641555786,0.3914575820952808,0.8911917209625244
19,0.07174740650924039,0.9756365418434143,0.49270143900356145,0.8652849793434143
20,0.065307934793513,0.9759361147880554,0.5052181179659354,0.8756476640701294
21,0.047559060636002064,0.9844233393669128,0.4810773498653748,0.8756476640701294
22,0.03864382303185497,0.9863204956054688,0.45033353875955767,0.8756476640701294
